hgnc_id	geneSymbol	name	gene_group	main_gene_group	gene_type	locus_type	status	location	location_sortable	alias_symbol
HGNC:8127	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	O-linked N-acetylglucosaminyltransferases|Tetratricopeptide repeat domain containing|NSL histone acetyltransferase complex	Acetyltransferase	HAT	gene with protein product	Approved	Xq13.1	Xq13.1	O-GLCNAC|HRNT1|MGC22921|FLJ23071|OGT1
HGNC:16098	PHF20	PHD finger protein 20	PHD finger proteins|Tudor domain containing|NSL histone acetyltransferase complex	Acetyltransferase	HAT	gene with protein product	Approved	20q11.22-q11.23	20q11.22-q11.23	dJ1121G12.1|TDRD20A
HGNC:10474	RUVBL1	RuvB like AAA ATPase 1	AAA ATPases|INO80 complex |DNA helicases|SRCAP complex|R2TP complex|Tip60/Nua4 histone acetyltransferase complex subunits|R2SP complex	Acetyltransferase	HAT	gene with protein product	Approved	3q21.3	03q21.3	TIP49|NMP238|RVB1|TIP49a|Pontin52|ECP54|TIH1|Rvb1|INO80H
HGNC:10475	RUVBL2	RuvB like AAA ATPase 2	AAA ATPases|INO80 complex |DNA helicases|SRCAP complex|R2TP complex|Tip60/Nua4 histone acetyltransferase complex subunits|MicroRNA protein coding host genes|R2SP complex	Acetyltransferase	HAT	gene with protein product	Approved	19q13.33	19q13.33	RVB2|TIP48|TIP49b|Reptin52|ECP51|TIH2|INO80J|Rvb2
HGNC:11535	TAF1	TATA-box binding protein associated factor 1	Lysine acetyltransferases|Bromodomain containing|General transcription factor IID complex subunits	Acetyltransferase	HAT	gene with protein product	Approved	Xq13.1	Xq13.1	NSCL2|TAFII250|KAT4|DYT3/TAF1
HGNC:12347	TRRAP	transformation/transcription domain associated protein	SAGA complex|Armadillo like helical domain containing|Tip60/Nua4 histone acetyltransferase complex subunits|MicroRNA protein coding host genes	Acetyltransferase	HAT	gene with protein product	Approved	7q22.1	07q22.1	TR-AP|PAF400|Tra1
HGNC:11644	VPS72	vacuolar protein sorting 72 homolog	SRCAP complex|Tip60/Nua4 histone acetyltransferase complex subunits	Acetyltransferase	HAT	gene with protein product	Approved	1q21.3	01q21.3	YL-1|YL1|Swc2
HGNC:12757	WDR5	WD repeat domain 5	WD repeat domain containing|ATAC complex|NSL histone acetyltransferase complex|Cilia and flagella associated|WRAD complex	Acetyltransferase	HAT	gene with protein product	Approved	9q34.2	09q34.2	SWD3|CFAP89
HGNC:24859	YEATS4	YEATS domain containing 4	YEATS domain containing|SRCAP complex|Tip60/Nua4 histone acetyltransferase complex subunits	Acetyltransferase	HAT	gene with protein product	Approved	12q15	12q15	NuBI-1|GAS41|YAF9
HGNC:4852	HDAC1	histone deacetylase 1	"Histone deacetylases, class I|EMSY complex|NuRD complex subunits|SIN3 histone deacetylase complex subunits|MiDAC complex subunits"	Deacetylase	HDAC	gene with protein product	Approved	1p35.2-p35.1	01p35.2-p35.1	HD1|GON-10|KDAC1
HGNC:18128	HDAC10	histone deacetylase 10	"Histone deacetylases, class IIB"	Deacetylase	HDAC	gene with protein product	Approved	22q13.33	22q13.33	DKFZP761B039
HGNC:19086	HDAC11	histone deacetylase 11	"Histone deacetylases, class IV"	Deacetylase	HDAC	gene with protein product	Approved	3p25.1	03p25.1	
HGNC:4853	HDAC2	histone deacetylase 2	"Histone deacetylases, class I|EMSY complex|NuRD complex subunits|SIN3 histone deacetylase complex subunits|MiDAC complex subunits"	Deacetylase	HDAC	gene with protein product	Approved	6q21	06q21	RPD3|YAF1|KDAC2
HGNC:4854	HDAC3	histone deacetylase 3	"Histone deacetylases, class I|NCoR/SMRT transcriptional repression complex subunits"	Deacetylase	HDAC	gene with protein product	Approved	5q31.3	05q31.3	RPD3|HD3|RPD3-2|KDAC3
HGNC:14063	HDAC4	histone deacetylase 4	"Histone deacetylases, class IIA|MicroRNA protein coding host genes"	Deacetylase	HDAC	gene with protein product	Approved	2q37.3	02q37.3	KIAA0288|HDAC-A|HDACA|HD4|HA6116|HDAC-4
HGNC:14068	HDAC5	histone deacetylase 5	"Histone deacetylases, class IIA"	Deacetylase	HDAC	gene with protein product	Approved	17q21.31	17q21.31	KIAA0600|NY-CO-9|FLJ90614
HGNC:14064	HDAC6	histone deacetylase 6	"Protein phosphatase 1 regulatory subunits|Histone deacetylases, class IIB"	Deacetylase	HDAC	gene with protein product	Approved	Xp11.23	Xp11.23	KIAA0901|JM21|HD6|FLJ16239|PPP1R90
HGNC:14067	HDAC7	histone deacetylase 7	"Histone deacetylases, class IIA"	Deacetylase	HDAC	gene with protein product	Approved	12q13.11	12q13.11	DKFZP586J0917
HGNC:13315	HDAC8	histone deacetylase 8	"Histone deacetylases, class I"	Deacetylase	HDAC	gene with protein product	Approved	Xq13.1	Xq13.1	RPD3|KDAC8
HGNC:14065	HDAC9	histone deacetylase 9	"Histone deacetylases, class IIA"	Deacetylase	HDAC	gene with protein product	Approved	7p21.1	07p21.1	KIAA0744|HDAC|MITR|HD7|HDAC7B
HGNC:9887	RBBP4	"RB binding protein 4, chromatin remodeling factor"	WD repeat domain containing|EMSY complex|NuRD complex subunits|SIN3 histone deacetylase complex subunits|Polycomb repressive complex 2|NURF complex	Deacetylase	HDAC	gene with protein product	Approved	1p35.1	01p35.1	RbAp48|NURF55|lin-53
HGNC:9890	RBBP7	"RB binding protein 7, chromatin remodeling factor"	WD repeat domain containing|EMSY complex|NuRD complex subunits|SIN3 histone deacetylase complex subunits|Polycomb repressive complex 2|NURF complex	Deacetylase	HDAC	gene with protein product	Approved	Xp22.2	Xp22.2	RbAp46
HGNC:10530	SAP18	Sin3A associated protein 18	ASAP complex|SIN3 histone deacetylase complex subunits|Spliceosomal Bact complex|Spliceosomal C complex	Deacetylase	HDAC	gene with protein product	Approved	13q12.11	13q12.11	SAP18p|2HOR0202|MGC27131
HGNC:10532	SAP30	Sin3A associated protein 30	SIN3 histone deacetylase complex subunits	Deacetylase	HDAC	gene with protein product	Approved	4q34.1	04q34.1	
HGNC:19353	SIN3A	SIN3 transcription regulator family member A	EMSY complex|SIN3 histone deacetylase complex subunits	Deacetylase	HDAC	gene with protein product	Approved	15q24.2	15q24.2	KIAA0700|DKFZP434K2235
HGNC:19354	SIN3B	SIN3 transcription regulator family member B	EMSY complex|SIN3 histone deacetylase complex subunits	Deacetylase	HDAC	gene with protein product	Approved	19p13.11	19p13.11	KIAA0700
HGNC:14929	SIRT1	sirtuin 1	Sirtuins|eNoSC complex	Deacetylase	HDAC	gene with protein product	Approved	10q21.3	10q21.3	SIR2L1
HGNC:10886	SIRT2	sirtuin 2	Sirtuins	Deacetylase	HDAC	gene with protein product	Approved	19q13.2	19q13.2	
HGNC:14931	SIRT3	sirtuin 3	Sirtuins	Deacetylase	HDAC	gene with protein product	Approved	11p15.5	11p15.5	SIR2L3
HGNC:14932	SIRT4	sirtuin 4	Sirtuins	Deacetylase	HDAC	gene with protein product	Approved	12q24.31	12q24.31	SIR2L4
HGNC:14933	SIRT5	sirtuin 5	Sirtuins	Deacetylase	HDAC	gene with protein product	Approved	6p23	06p23	
HGNC:14934	SIRT6	sirtuin 6	Sirtuins	Deacetylase	HDAC	gene with protein product	Approved	19p13.3	19p13.3	
HGNC:14935	SIRT7	sirtuin 7	Sirtuins	Deacetylase	HDAC	gene with protein product	Approved	17q25.3	17q25.3	
HGNC:29545	SUDS3	"SDS3 homolog, SIN3A corepressor complex component"	SIN3 histone deacetylase complex subunits	Deacetylase	HDAC	gene with protein product	Approved	12q24.23	12q24.23	SDS3|FLJ00052|SAP45
