ID	Symbols	Sites	Feature	Effect	HRD3Avs2A_2A	HRD3Avs2A_3A
YEATS2-P-S465-S473	YEATS2	S465|S473	P		-0.821884599044893	0.8218845990448921
C16orf74-R	C16orf74		R		-0.669111952664323	0.669111952664323
TMEM115-G	TMEM115		G		0.965944562230085	-0.965944562230084
EIF4B-P-S263	EIF4B	S263	P		-0.8048466322419029	0.8048466322419019
TMEM119-G	TMEM119		G		5.157179408724E-4	-5.157179408724E-4
LLGL2-P-S965	LLGL2	S965	P		-0.994097031699653	0.994097031699653
MACF1-P-S3688	MACF1	S3688	P		0.7995427083886519	-0.799542708388655
POC1B-GALNT4-G	POC1B-GALNT4		G		-0.107947066994261	0.107947066994262
NUDT16L1-R	NUDT16L1		R		-0.485699847959103	0.485699847959101
AHNAK2-P-S1583	AHNAK2	S1583	P		0.377350131917929	-0.377350131917929
EML1-P-S159	EML1	S159	P		-0.622782196891047	0.622782196891048
SLTM-P-S325	SLTM	S325	P		-0.573230014100062	0.573230014100062
PTK6-R	PTK6		R		0.7180787941117379	-0.7180787941117379
ELAVL1-G	ELAVL1		G		-0.0755173654059034	0.0755173654059042
ELAVL2-G	ELAVL2		G		0.709918813600348	-0.709918813600348
KLK15-R	KLK15		R		-0.458986563517481	0.45898656351748
TMEM100-G	TMEM100		G		0.0928201267443628	-0.0928201267443627
TMEM101-G	TMEM101		G		-0.6831270583675121	0.683127058367513
MYLK-P-S947	MYLK	S947	P		0.176933451498582	-0.176933451498582
TMEM102-G	TMEM102		G		-0.0832406623735249	0.0832406623735245
KIAA1109-P-S1305	KIAA1109	S1305	P		-0.988380747635393	0.988380747635393
CASC3-P-S117	CASC3	S117	P		-0.6193427774357181	0.6193427774357181
SRRD-R	SRRD		R		0.8869739006651869	-0.8869739006651941
VTCN1-R	VTCN1		R		0.7711162573295809	-0.7711162573295759
TMEM109-G	TMEM109		G		0.439307014408334	-0.439307014408335
RBM12B-R	RBM12B		R		-0.346678408117796	0.346678408117789
AKAP12-P-S219	AKAP12	S219	P		0.871291233122561	-0.871291233122561
PRR5-R	PRR5		R		0.4619545837555011	-0.461954583755492
CNNM1-R	CNNM1		R		0.763844824279701	-0.763844824279698
RALGAPB-P-S377	RALGAPB	S377	P		-0.5151216363015441	0.515121636301543
ACIN1-P-S729	ACIN1	S729	P		0.990355004601446	-0.990355004601446
VGLL4-P-S103	VGLL4	S103	P		-0.7899209829937289	0.78992098299373
ACVR2B-R	ACVR2B		R		-0.591284882225537	0.5912848822255451
AC072022.2-R	AC072022.2		R		-0.9862487135946708	0.98624871359468
SRRM1-P-S292	SRRM1	S292	P		-0.302238234057501	0.302238234057501
FRAT2-R	FRAT2		R		-0.258561550655123	0.258561550655121
TAS2R19-R	TAS2R19		R		-0.989287242668775	0.989287242668784
NUP35-P-S55	NUP35	S55	P		-0.8735479505782611	0.8735479505782621
SIX4-R	SIX4		R		-0.377359815338867	0.3773598153388689
ZNF177-R	ZNF177		R		-0.640557181220072	0.64055718122007
ZNF35-R	ZNF35		R		0.903913330385604	-0.9039133303855972
PLEKHG5-P-S270	PLEKHG5	S270	P		-0.654736756793117	0.654736756793117
POLDIP2-G	POLDIP2		G		-0.923819890455517	0.923819890455518
DAB2IP-P-S719	DAB2IP	S719	P		0.688366926812074	-0.6883669268120761
POLDIP3-G	POLDIP3		G		-0.0751667925337222	0.075166792533722
LEPROTL1-R	LEPROTL1		R		-0.388183413693227	0.388183413693228
MCFD2-R	MCFD2		R		-0.7583287961985359	0.758328796198542
CAMK1D-R	CAMK1D		R		0.624256387180146	-0.624256387180155
SAMHD1-R	SAMHD1		R		0.8734089283522279	-0.873408928352218
SNX12-P-S73	SNX12	S73	P		0.834533509714687	-0.834533509714686
PPHLN1-P-S205	PPHLN1	S205	P		0.357988433811304	-0.357988433811305
PI3-R	PI3		R		0.6127987567490121	-0.6127987567490141
OR52W1-R	OR52W1		R		-0.4376407516871621	0.437640751687151
MAPKAPK5-R	MAPKAPK5		R		-0.369974740111175	0.3699747401111729
GATD1-R	GATD1		R		-0.411633588353993	0.411633588353988
BAP1-P-S292	BAP1	S292	P		-0.262953035501082	0.262953035501083
PERP-R	PERP		R		-0.515369063604059	0.515369063604061
CIC-P-S20	CIC	S20	P		-0.915826553453813	0.915826553453814
NAV1-P-S760	NAV1	S760	P		0.7473605608643571	-0.7473605608643571
PRDM2-P-S643	PRDM2	S643	P		-0.834533509714687	0.834533509714686
H1-5-P-T138	H1-5	T138	P		0.660563876021333	-0.660563876021333
CCDC6-P-S240	CCDC6	S240	P		0.8099447088476691	-0.8099447088476701
TRA2A-P-S215	TRA2A	S215	P		-0.5743909838713389	0.5743909838713389
IGKV3OR2-268-R	IGKV3OR2-268		R		0.369885954943603	-0.369885954943611
TESK1-G	TESK1		G		-0.8122475910900459	0.8122475910900459
TRIM4-R	TRIM4		R		-0.1966076638580789	0.1966076638580789
PDZD2-P-S984	PDZD2	S984	P		-0.956549771581571	0.956549771581571
KMT2B-P-T2083	KMT2B	T2083	P		-0.980404848347548	0.980404848347548
C3AR1-G	C3AR1		G		0.580824024510734	-0.580824024510734
NMNAT1-P-S117	NMNAT1	S117	P		-0.7766157086276031	0.776615708627605
SH3BP4-P-S11	SH3BP4	S11	P		0.6663775943056159	-0.6663775943056149
HSP90AA1-P-S476	HSP90AA1	S476	P		-0.988380747635393	0.988380747635393
PRR19-R	PRR19		R		0.7362561922662472	-0.736256192266249
RALY-P-S106	RALY	S106	P		0.696772898774491	-0.6967728987744901
USP6NL-P-S432	USP6NL	S432	P		-0.908935671933413	0.908935671933413
OSBPL7-P-S231	OSBPL7	S231	P		-0.9361009498369872	0.936100949836988
TSPYL2-R	TSPYL2		R		0.80109130468052	-0.80109130468052
KRT15-P-S34	KRT15	S34	P		0.946134796557175	-0.946134796557175
BDH2-R	BDH2		R		0.9108282575515408	-0.910828257551556
UPRT-R	UPRT		R		-0.425201281415228	0.4252012814152271
BAIAP2-P-T348-S352	BAIAP2	T348|S352	P		-0.377350131917929	0.377350131917929
TPRG1L-G	TPRG1L		G		-0.5624461406628511	0.56244614066285
ABLIM1-P-T435	ABLIM1	T435	P		0.9280253274357808	-0.9280253274357808
CIAO3-G	CIAO3		G		-0.225629931429045	0.225629931429046
CIAO1-G	CIAO1		G		-0.357534707165566	0.3575347071655649
NBEAL2-P-T1867	NBEAL2	T1867	P		-0.466906670212036	0.4669066702120379
PYGO2-P-S97	PYGO2	S97	P		0.969610760072194	-0.969610760072194
TNIP2-R	TNIP2		R		0.968151909781508	-0.9681519097815172
WDR60-P-S79	WDR60	S79	P		-0.868244448873152	0.868244448873152
AIFM1-P-S519	AIFM1	S519	P		0.988213989130645	-0.988213989130645
FAM53B-R	FAM53B		R		-0.306552686432161	0.306552686432157
ACSM2B-R	ACSM2B		R		-0.6364057417998821	0.636405741799879
ZNF654-R	ZNF654		R		-0.202426016913766	0.202426016913767
PGRMC2-R	PGRMC2		R		-0.8039939863464771	0.803993986346467
CA12-R	CA12		R		-0.4299221676086579	0.429922167608623
MYO1E-P-T876	MYO1E	T876	P		0.126199870193076	-0.126199870193076
NRBP2-P-T409	NRBP2	T409	P		-0.443728248011501	0.443728248011502
MBL2-R	MBL2		R		0.367358585261274	-0.367358585261271
PSMC1-P-T53	PSMC1	T53	P		0.9174170276191792	-0.91741702761918
ABHD17C-R	ABHD17C		R		-0.182405186328182	0.182405186328185
PKD2L2-R	PKD2L2		R		-0.266079123016807	0.266079123016812
NSUN7-R	NSUN7		R		-0.0910524897492598	0.0910524897492608
KRT7-P-S71	KRT7	S71	P		-0.962382657226056	0.9623826572260572
DBNL-P-S292	DBNL	S292	P		-0.854149627984107	0.854149627984107
MAGEC2-R	MAGEC2		R		0.8938054771968751	-0.8938054771968779
PPIG-P-S356-T358	PPIG	S356|T358	P		0.8252890771104481	-0.825289077110447
C1orf162-R	C1orf162		R		0.100669542901265	-0.100669542901266
SPATS2L-P-T365	SPATS2L	T365	P		0.6911519567932061	-0.6911519567932071
TCP11L1-G	TCP11L1		G		8.630060824304E-4	-8.630060824304E-4
STXBP5-P-S1131	STXBP5	S1131	P		0.806518948859898	-0.806518948859899
TCP11L2-G	TCP11L2		G		0.53988981393756	-0.5398898139375611
EPHA8-R	EPHA8		R		-0.701195519090277	0.7011955190902801
IL22RA2-R	IL22RA2		R		0.6475600285730839	-0.647560028573085
OXCT2-R	OXCT2		R		-0.980681118043395	0.980681118043391
TMX2-R	TMX2		R		-0.120536717440459	0.120536717440459
STK38L-P-S454	STK38L	S454	P		0.981237410252037	-0.981237410252037
SLC7A6OS-P-S16	SLC7A6OS	S16	P		-0.58703381535354	0.587033815353541
HSPA1A-P-S418	HSPA1A	S418	P		0.791236190354342	-0.791236190354342
CYTH3-R	CYTH3		R		0.0010107060631696	-0.0010107060631696
RNF187-R	RNF187		R		-0.546231774512318	0.54623177451233
WAC-P-S523	WAC	S523	P		-0.980893646156986	0.980893646156986
UQCC1-R	UQCC1		R		-0.232969409471822	0.232969409471823
LEMD3-P-S27	LEMD3	S27	P		0.7489969615044741	-0.748996961504475
AL603764.2-R	AL603764.2		R		-0.374330439574557	0.3743304395745589
ZNF566-R	ZNF566		R		0.410964239472015	-0.410964239472024
C19orf44-R	C19orf44		R		-0.628122882304643	0.6281228823046451
SAMD9-G	SAMD9		G		-0.858717902618632	0.858717902618632
LCE3E-R	LCE3E		R		0.6383905202181209	-0.638390520218132
NLRP6-R	NLRP6		R		0.8883245489775542	-0.8883245489775501
TGOLN2-P-S224	TGOLN2	S224	P		0.8556252705596279	-0.8556252705596279
FXR2-P-S634	FXR2	S634	P		0.5893930602751422	-0.589393060275145
EIF5B-P-S113	EIF5B	S113	P		-0.92745894867312	0.92745894867312
C2CD5-P-S643	C2CD5	S643	P		0.61317473995711	-0.613174739957109
DOK3-P-S364	DOK3	S364	P		0.8282512208788121	-0.8282512208788121
TRAF3IP1-P-S410	TRAF3IP1	S410	P		-0.8192915514143209	0.8192915514143199
NAV2-P-S1215	NAV2	S1215	P		0.7391060541990409	-0.7391060541990421
SAMD1-G	SAMD1		G		-0.188599512459029	0.188599512459029
TCTEX1D2-R	TCTEX1D2		R		-0.150635587955995	0.150635587955988
DGKZ-R	DGKZ		R		0.6645944253589411	-0.664594425358948
TCEAL3-P-T118	TCEAL3	T118	P		-0.935199217563866	0.935199217563866
LYSMD1-P-S33	LYSMD1	S33	P		0.857445704526778	-0.857445704526779
KLRG2-P-S158	KLRG2	S158	P		-0.966699719577222	0.966699719577221
SAP130-P-S300	SAP130	S300	P		0.7762435659102941	-0.7762435659102941
ANO8-R	ANO8		R		-0.97102929528217	0.971029295282168
ZCCHC7-R	ZCCHC7		R		-0.0130104992642771	0.0130104992642774
LONRF2-R	LONRF2		R		-0.302389316295498	0.302389316295492
KIF16B-P-S662	KIF16B	S662	P		-0.954577225779856	0.9545772257798548
CCDC120-P-S615	CCDC120	S615	P		-0.794526251988894	0.794526251988895
MVB12B-P-S224	MVB12B	S224	P		0.620240238368522	-0.620240238368522
KCNA4-R	KCNA4		R		0.916178517296172	-0.91617851729617
ZNF185-P-S454	ZNF185	S454	P		-0.870689044666802	0.870689044666802
MYL6-P-S57	MYL6	S57	P		0.641086331966056	-0.641086331966056
OSBPL3-P-S251	OSBPL3	S251	P		-0.7501704182559059	0.750170418255905
GAGE12H-R	GAGE12H		R		-0.810309743379962	0.8103097433799459
CAST-P-S128	CAST	S128	P		0.58928548835625	-0.58928548835625
CCNL2-P-S369	CCNL2	S369	P		0.8424722665715321	-0.842472266571533
ERBIN-P-S1148	ERBIN	S1148	P		0.6837930463869879	-0.6837930463869871
DPH7-R	DPH7		R		-0.579572372256137	0.5795723722561391
MAVS-R	MAVS		R		0.951784019368947	-0.951784019368937
SYNPO2-P-S1239	SYNPO2	S1239	P		0.920957417493087	-0.920957417493088
RRAGB-R	RRAGB		R		-0.173395709197064	0.173395709197061
DYRK1A-R	DYRK1A		R		0.868168818524183	-0.86816881852418
ALDH1A3-R	ALDH1A3		R		5.050697333173701E-7	-5.05069733317398E-7
CEP250-G	CEP250		G		-0.0733790385533283	0.0733790385533287
RHBDF2-P-S325	RHBDF2	S325	P		-0.6754640976846931	0.675464097684692
SPZ1-R	SPZ1		R		-0.843985549418218	0.843985549418212
CDC25C-G	CDC25C		G		-0.644306953624894	0.644306953624894
CPSF7-P-T203	CPSF7	T203	P		-0.453157629165915	0.453157629165915
ADAMTS17-R	ADAMTS17		R		0.7841058178999201	-0.784105817899932
TRNP1-R	TRNP1		R		0.827664538138497	-0.827664538138514
ATG9B-R	ATG9B		R		0.743436574332775	-0.743436574332775
NOTCH2NLA-R	NOTCH2NLA		R		-0.921132506725598	0.9211325067255992
CCZ1-R	CCZ1		R		-0.612019619738209	0.6120196197382061
OPLAH-R	OPLAH		R		-0.9919962716108772	0.9919962716108872
TMC3-R	TMC3		R		-0.1586996079772659	0.158699607977264
MAP3K20-P-S727	MAP3K20	S727	P		-0.775720481423399	0.7757204814234009
NES-P-S578	NES	S578	P		-0.8733126880215959	0.8733126880215959
MAP4-P-S384	MAP4	S384	P		-0.436470815293377	0.436470815293379
SYNM-P-S1049	SYNM	S1049	P		0.981389194547478	-0.981389194547479
CBL-P-S642	CBL	S642	P		-0.893492701119589	0.89349270111959
MPC2-R	MPC2		R		-0.0503366018830611	0.0503366018830598
HTT-R	HTT		R		0.72694261744932	-0.7269426174493221
NME1-P-S125	NME1	S125	P		0.8652749444164599	-0.865274944416459
PRRC2A-P-S456	PRRC2A	S456	P		-0.4995556192576189	0.4995556192576189
CENPB-R	CENPB		R		-0.882563221900557	0.8825632219005659
ARID2-P-S1496	ARID2	S1496	P		-0.346829450769366	0.346829450769366
CKM-R	CKM		R		0.604428832552261	-0.604428832552264
TFAP4-P-S124	TFAP4	S124	P		-0.924455283786713	0.924455283786713
CDC42EP1-P-S152	CDC42EP1	S152	P		0.775612266309163	-0.775612266309164
SSTR3-R	SSTR3		R		-0.0952679201672236	0.0952679201672223
SESN2-R	SESN2		R		0.273222320395262	-0.273222320395263
CYTH2-R	CYTH2		R		-0.868253461041873	0.86825346104185
SYNPO-P-S779-T783	SYNPO	S779|T783	P		0.424555211633993	-0.424555211633993
EIF4B-P-T505-S509	EIF4B	T505|S509	P		0.7844919503376159	-0.7844919503376159
MATN3-R	MATN3		R		0.0095834757712121	-0.0095834757712121
KCNF1-R	KCNF1		R		0.6727993812888969	-0.6727993812888969
RAB40B-R	RAB40B		R		-0.0782483186084266	0.0782483186084272
RBM15-P-S656	RBM15	S656	P		0.783220979288676	-0.783220979288677
CEP290-G	CEP290		G		0.8162421038702901	-0.816242103870291
CEP295-G	CEP295		G		0.73264551923904	-0.73264551923904
POLR2A-P-S1861	POLR2A	S1861	P		-0.7638672329885409	0.7638672329885409
TANC2-R	TANC2		R		0.2246473564115089	-0.224647356411511
LCP1-P-S265	LCP1	S265	P		0.5728250060833431	-0.5728250060833431
TJP1-P-S175-S178	TJP1	S175|S178	P		-0.851877100142947	0.851877100142947
STK10-P-S438	STK10	S438	P		0.7149534623138849	-0.7149534623138849
FIZ1-R	FIZ1		R		0.426794033314513	-0.426794033314519
PPIL4-R	PPIL4		R		0.637953902094906	-0.637953902094906
ZBTB41-R	ZBTB41		R		-0.0933503559776801	0.0933503559776792
AMFR-P-S574	AMFR	S574	P		-0.7570413304493689	0.7570413304493689
SRRM2-P-S1866-S1869	SRRM2	S1866|S1869	P		-0.6929899752062141	0.6929899752062141
MIER1-P-S130	MIER1	S130	P		0.9055793217013168	-0.9055793217013168
RAPH1-P-S845	RAPH1	S845	P		0.500953026113487	-0.500953026113487
PCYT1A-P-S362	PCYT1A	S362	P		0.3217420838065639	-0.321742083806563
ZNF574-P-S254	ZNF574	S254	P		0.91075227330009	-0.91075227330009
ANKRD13D-P-S552-T556	ANKRD13D	S552|T556	P		0.921602022823897	-0.921602022823897
HBS1L-R	HBS1L		R		-0.7417170142964041	0.7417170142964041
PBXIP1-G	PBXIP1		G		-0.9711050582244092	0.9711050582244092
MAX-R	MAX		R		-0.5329529320282511	0.532952932028267
EIF6-R	EIF6		R		-0.279430042459491	0.279430042459489
KRTAP29-1-R	KRTAP29-1		R		0.7551662651289879	-0.755166265128986
TTN-P-S33247	TTN	S33247	P		-0.552062566425066	0.552062566425066
PRDX6-P-T44	PRDX6	T44	P		-0.594483483565818	0.594483483565818
KCTD21-G	KCTD21		G		0.0747592764869363	-0.0747592764869369
TERF2-R	TERF2		R		0.986454445218442	-0.986454445218441
FKBP15-P-S311	FKBP15	S311	P		-0.9743170996574873	0.974317099657486
ORMDL3-R	ORMDL3		R		0.55195369926358	-0.5519536992635811
CLASP2-P-S455	CLASP2	S455	P		-0.791236190354342	0.791236190354342
MARCKSL1-G	MARCKSL1		G		-0.422266794516679	0.422266794516679
TAF9-R	TAF9		R		-0.0504669650870413	0.0504669650870392
SCYGR7-R	SCYGR7		R		-0.612019619738209	0.6120196197382061
CELSR1-P-S2960	CELSR1	S2960	P		-0.775313687708146	0.775313687708146
FRMD4A-P-S833	FRMD4A	S833	P		0.672943901718327	-0.6729439017183261
BRAF-P-S151	BRAF	S151	P		-0.5598910444990539	0.559891044499055
IGHD7-27-R	IGHD7-27		R		-0.612019619738209	0.6120196197382061
MARK2-P-S597	MARK2	S597	P		-0.857445704526778	0.857445704526779
DYNC1LI1-P-S207	DYNC1LI1	S207	P		-0.7382266872831189	0.73822668728312
SRP19-P-S135	SRP19	S135	P		-0.87276816689661	0.87276816689661
GRPR-R	GRPR		R		0.7432821877867021	-0.743282187786703
RECK-G	RECK		G		1.5735096518345902E-5	-1.57350965183463E-5
TRNAU1AP-R	TRNAU1AP		R		-0.8853264751435781	0.8853264751435821
NSUN5-P-S327	NSUN5	S327	P		-0.35055450836367	0.35055450836367
CLCC1-P-S509	CLCC1	S509	P		-0.5701163662711011	0.570116366271099
RAB26-R	RAB26		R		0.5300114892501829	-0.530011489250177
HMGN5-P-T31	HMGN5	T31	P		0.444498449674468	-0.444498449674468
SPATA18-P-S477	SPATA18	S477	P		0.679435642162052	-0.679435642162052
EVL-P-S248	EVL	S248	P		-0.8546023359703149	0.8546023359703149
SUPT4H1-R	SUPT4H1		R		-0.31906868699222	0.319068686992215
ZNF512B-R	ZNF512B		R		0.709582033798858	-0.709582033798867
SWSAP1-R	SWSAP1		R		-0.204824966035374	0.204824966035359
UGT2A1-R	UGT2A1		R		0.18756976991486	-0.187569769914863
FAM91A1-R	FAM91A1		R		-0.6405669742068779	0.640566974206876
CHD2-R	CHD2		R		-0.8825478358339879	0.882547835833996
PC-R	PC		R		0.57028015995199	-0.5702801599520079
CDK13-R	CDK13		R		-0.667118527124875	0.667118527124875
ATP12A-R	ATP12A		R		-0.744951016158803	0.7449510161588021
KCTD10-G	KCTD10		G		0.0318491299835224	-0.0318491299835227
PPP1R3B-R	PPP1R3B		R		0.7062854490508409	-0.706285449050843
ARHGEF25-P-S556-S560	ARHGEF25	S556|S560	P		0.8530708594748041	-0.8530708594748041
KCTD14-G	KCTD14		G		-0.875794052084431	0.8757940520844301
ZNF512B-P-S63	ZNF512B	S63	P		0.960556050143288	-0.960556050143287
KCTD12-G	KCTD12		G		0.30833943405112	-0.30833943405112
MGARP-G	MGARP		G		0.5595907714309251	-0.5595907714309251
KCTD18-G	KCTD18		G		-0.723955424929705	0.7239554249297071
KCTD15-G	KCTD15		G		0.985172838325914	-0.985172838325914
CDC42EP2-P-S2	CDC42EP2	S2	P		0.529178717550163	-0.529178717550164
PTPRM-P-S824	PTPRM	S824	P		-0.445521929643472	0.445521929643472
C1orf194-R	C1orf194		R		-0.0479848157504893	0.0479848157504859
S1PR4-R	S1PR4		R		0.4590349760913	-0.459034976091303
LPAR1-G	LPAR1		G		0.2280272279250849	-0.228027227925086
ALG1-R	ALG1		R		-0.4235931165727629	0.423593116572759
EEA1-R	EEA1		R		0.939676547464024	-0.939676547464023
MBTD1-G	MBTD1		G		-0.6120639162102111	0.6120639162102111
SFN-P-S74	SFN	S74	P		-0.7623086286496741	0.7623086286496741
HNRNPU-P-S59	HNRNPU	S59	P		-0.481573808449428	0.481573808449427
NR3C1-P-T8	NR3C1	T8	P		-0.989937837998122	0.989937837998122
CEP192-G	CEP192		G		0.319147884876947	-0.319147884876948
RHBDF1-P-S8	RHBDF1	S8	P		-0.645809079112475	0.645809079112475
RPTOR-P-S859-S863	RPTOR	S859|S863	P		-0.9412108562001972	0.9412108562001972
STAT5A-G	STAT5A		G		0.0018105746796953	-0.0018105746796953
KCNK18-R	KCNK18		R		-0.370490863600314	0.370490863600315
IGKV2-24-R	IGKV2-24		R		0.112848185418908	-0.112848185418909
STAT5B-G	STAT5B		G		0.0108158844935623	-0.0108158844935624
GALNT5-R	GALNT5		R		1.526185660662E-4	-1.526185660662E-4
KCTD15-P-S9	KCTD15	S9	P		0.994158849544665	-0.994158849544666
KCNK15-R	KCNK15		R		-0.3660444708392751	0.366044470839277
PPFIBP2-R	PPFIBP2		R		-0.993372808414142	0.993372808414145
NTAN1-G	NTAN1		G		0.4793757802781721	-0.479375780278173
MPPED2-R	MPPED2		R		0.881500176515726	-0.881500176515723
FKBP15-P-S1164	FKBP15	S1164	P		0.813437455283726	-0.813437455283726
AIMP1-G	AIMP1		G		-0.0139694548283235	0.0139694548283236
TMCO1-R	TMCO1		R		-0.442999219968501	0.442999219968495
AIMP2-G	AIMP2		G		-0.0044703885652533	0.0044703885652533
MAP3K11-P-S524	MAP3K11	S524	P		0.998768628262179	-0.998768628262179
MSLNL-R	MSLNL		R		0.660122152261965	-0.660122152261961
ARHGEF11-P-S291	ARHGEF11	S291	P		-0.9692774183055178	0.9692774183055178
SRRM1-P-S725-S727	SRRM1	S725|S727	P		-0.4995556192576189	0.4995556192576189
KYAT3-G	KYAT3		G		-0.7724516111844208	0.7724516111844208
NCL-R	NCL		R		-0.2962349961750639	0.296234996175046
KYAT1-G	KYAT1		G		-0.325969647935236	0.325969647935237
GH1-R	GH1		R		-0.57729820186745	0.577298201867445
CD52-R	CD52		R		0.250833691550635	-0.250833691550635
PHF2-P-S899	PHF2	S899	P		-0.478291329387108	0.4782913293871099
AP006333.1-R	AP006333.1		R		-0.910974221628404	0.9109742216284128
PIP4P2-R	PIP4P2		R		0.94343364375918	-0.943433643759187
TST-P-S38	TST	S38	P		0.925057660215074	-0.925057660215073
MVB12B-R	MVB12B		R		0.7362561922662472	-0.736256192266249
RPRD2-P-S928-S930	RPRD2	S928|S930	P		-0.967441512925554	0.9674415129255552
SPTAN1-G	SPTAN1		G		-0.1667388537989899	0.1667388537989899
LARP7-P-S261	LARP7	S261	P		-0.881434275587544	0.881434275587544
CAMSAP1-P-S534	CAMSAP1	S534	P		0.537972356602739	-0.537972356602741
RPGRIP1L-R	RPGRIP1L		R		0.420250323525342	-0.4202503235253479
DOCK5-P-S1789	DOCK5	S1789	P		-0.826109041810952	0.826109041810953
PEX19-P-S66	PEX19	S66	P		0.508450781632498	-0.508450781632496
MAP1B-P-S2209	MAP1B	S2209	P		-0.620240238368522	0.620240238368522
NCOR1-P-S172	NCOR1	S172	P		-0.9041872941050648	0.9041872941050648
PABPC4-G	PABPC4		G		-0.0509881871539802	0.0509881871539803
PABPC5-G	PABPC5		G		0.748410202638971	-0.7484102026389721
IL18-G	IL18		G		-0.92376844446367	0.92376844446367
PIGR-P-S682	PIGR	S682	P		-0.9135167778521528	0.9135167778521528
IL16-G	IL16		G		0.437421028407543	-0.437421028407543
PDZK1IP1-P-S89	PDZK1IP1	S89	P		-0.7899209829937289	0.78992098299373
CTNND1-P-S868	CTNND1	S868	P		0.167568994994099	-0.167568994994098
TC2N-R	TC2N		R		-0.797525516485744	0.7975255164857259
ARHGEF17-P-S346-S348	ARHGEF17	S346|S348	P		0.8292781567163969	-0.8292781567163969
EPPK1-P-S2718	EPPK1	S2718	P		-0.587692408104136	0.587692408104136
PABPC1-G	PABPC1		G		0.438154808826378	-0.438154808826378
C2orf68-P-S78	C2orf68	S78	P		-0.5534378771382379	0.5534378771382371
PHETA1-P-S213	PHETA1	S213	P		-0.659036119639057	0.659036119639057
TAGLN-G	TAGLN		G		2.8338227964261903E-9	-2.83382279642631E-9
SHROOM4-P-S381	SHROOM4	S381	P		-0.8760983692196429	0.8760983692196429
IQCA1L-R	IQCA1L		R		-0.604957176631959	0.6049571766319529
RELA-G	RELA		G		-0.105811547042905	0.105811547042905
KIAA1522-P-S338	KIAA1522	S338	P		0.609858414391849	-0.609858414391849
RELB-G	RELB		G		-0.774086908943457	0.774086908943458
MCM3-P-S711-T722	MCM3	S711|T722	P		-0.6298533351658421	0.6298533351658421
MGAT5-G	MGAT5		G		2.805697883621E-4	-2.805697883621E-4
ADGRF2-R	ADGRF2		R		0.4329765489198521	-0.432976548919847
PCLAF-P-S72	PCLAF	S72	P		-0.5610229363016271	0.561022936301629
MGAT1-G	MGAT1		G		0.0040406438369084	-0.0040406438369084
MGAT2-G	MGAT2		G		0.331298910832324	-0.331298910832324
MCRIP1-P-T30	MCRIP1	T30	P		0.440278080476637	-0.440278080476636
DNPH1-R	DNPH1		R		-0.124843013296855	0.124843013296855
IL33-G	IL33		G		-0.874746790691272	0.8747467906912709
SIGLEC6-R	SIGLEC6		R		0.0875916917788161	-0.0875916917788168
GUCY1B1-R	GUCY1B1		R		0.119983545397646	-0.119983545397648
VEGFB-G	VEGFB		G		-0.679695991199511	0.67969599119951
ERBIN-P-S852	ERBIN	S852	P		0.932613257702264	-0.932613257702263
VEGFA-G	VEGFA		G		0.5963741321769219	-0.596374132176923
PARP3-R	PARP3		R		-0.444064927302884	0.4440649273028859
MAP3K4-P-S109	MAP3K4	S109	P		-0.714940680249082	0.7149406802490831
FRYL-P-S2454	FRYL	S2454	P		-0.8192915514143209	0.8192915514143199
ABCC9-R	ABCC9		R		8.20766597378324E-5	-8.20766597378324E-5
SLC66A3-R	SLC66A3		R		-0.719327188635833	0.719327188635826
ANP32B-R	ANP32B		R		-0.5609220565956391	0.560922056595657
DBNL-P-S258	DBNL	S258	P		-0.493849506464054	0.493849506464053
SH2B1-P-S417	SH2B1	S417	P		0.839587797857484	-0.839587797857484
ZNF786-R	ZNF786		R		-0.6850255166972579	0.685025516697257
PRRC2A-P-S350	PRRC2A	S350	P		-0.313562191973571	0.313562191973571
SLC41A2-R	SLC41A2		R		0.202887608209605	-0.2028876082096089
FSBP-R	FSBP		R		-0.5479313637897271	0.547931363789725
SIN3A-P-S277-T284	SIN3A	S277|T284	P		0.988380747635393	-0.988380747635393
RCSD1-P-S82	RCSD1	S82	P		0.71122293519887	-0.7112229351988709
BOD1L1-P-S1531	BOD1L1	S1531	P		0.8448335090169891	-0.84483350901699
TMEM260-G	TMEM260		G		0.679281511415451	-0.679281511415451
TMEM263-G	TMEM263		G		3.04656568698882E-6	-3.04656568698887E-6
LARGE2-R	LARGE2		R		-0.4056117299980449	0.405611729998039
AC119396.1-R	AC119396.1		R		0.256929645330515	-0.256929645330514
EEF1B2-P-S106	EEF1B2	S106	P		-0.515911007397637	0.515911007397638
WASHC2A-P-S1114	WASHC2A	S1114	P		-0.598121185178549	0.598121185178549
HMGCR-P-S872	HMGCR	S872	P		-0.806951939096111	0.8069519390961101
MBP-P-S96	MBP	S96	P		0.462359109163228	-0.462359109163228
PIAS4-R	PIAS4		R		0.6972373431489721	-0.6972373431489821
NPIPB11-R	NPIPB11		R		0.55314293868301	-0.553142938683011
PRKCE-P-S368	PRKCE	S368	P		-0.780496680375892	0.780496680375892
RPTOR-P-S719	RPTOR	S719	P		-0.897380905907555	0.897380905907555
ZSWIM1-R	ZSWIM1		R		0.880757686685548	-0.8807576866855329
ILRUN-P-S215	ILRUN	S215	P		-0.642822918666061	0.642822918666062
