ID	Symbols	Sites	Feature	Effect	HRD3Avs2A_3A
LIG3-P-S210	LIG3	S210	P		-0.8701904429700895
ACTR5-R	ACTR5		R		0.8768641221659831
MCM4-P-S326	MCM4	S326	P		-0.8474748552744088
TERF1-P-T371	TERF1	T371	P		0.7440795520275432
BAZ1B-P-S158	BAZ1B	S158	P		0.3714731886363623
TP53BP1-P-S294	TP53BP1	S294	P		0.7440795520275432
WDR48-G	WDR48		G		0.06738185527369159
RAD9A-P-S375	RAD9A	S375	P		0.9948843082085812
ATR-P-S435	ATR	S435	P		0.4014986239459038
ACTB-P-T318	ACTB	T318	P		0.6142952558267958
RRM2-R	RRM2		R		-0.977121984453409
BOD1L1-P-S2986	BOD1L1	S2986	P		0.6142952558267958
XRCC6-P-S27	XRCC6	S27	P		0.6584784405253563
SMARCA4-P-S699	SMARCA4	S699	P		0.7857713263714547
POLI-R	POLI		R		0.9011005073713949
ATRX-P-S84	ATRX	S84	P		0.6866493019060356
TP53BP1-P-S580	TP53BP1	S580	P		-0.9900403001063334
TK2-G	TK2		G		-0.05399547085071153
PPP4R2-R	PPP4R2		R		0.11621893100189992
SETMAR-P-S410	SETMAR	S410	P		-0.9601392282449152
LIG1-R	LIG1		R		0.5128972731122272
SIRT6-P-T294	SIRT6	T294	P		0.9601392282449152
INO80B-R	INO80B		R		0.4011715628012008
SHPRH-G	SHPRH		G		0.38442290026096315
MSH6-P-S261	MSH6	S261	P		0.7343362615700626
SOX4-R	SOX4		R		-0.1563509231296052
TERF1-G	TERF1		G		0.6363300548588122
ABL1-P-T852	ABL1	T852	P		0.9601392282449152
TERF2-G	TERF2		G		0.3075179541284906
STK19-R	STK19		R		-0.9764327741051528
USP37-R	USP37		R		0.40429193098010086
POLR2A-P-S1861-S1868	POLR2A	S1861|S1868	P		0.857661436368084
MEI4-R	MEI4		R		-0.732207334872779
PRKDC-P-S2624	PRKDC	S2624	P		-0.937840152365561
USP10-P-T74	USP10	T74	P		0.9500245757133653
WRN-P-S1133	WRN	S1133	P		0.9395432509941035
SMARCA4-P-S1663	SMARCA4	S1663	P		-0.9601392282449152
RNMT-G	RNMT		G		0.9414802079037353
RPA1-R	RPA1		R		0.32067166944112185
SPIDR-R	SPIDR		R		0.6641154700793495
NSD2-G	NSD2		G		0.27328367797695774
USP1-G	USP1		G		0.21965844818233102
TTK-P-S821	TTK	S821	P		-0.9676775037092782
MMS22L-R	MMS22L		R		0.1328105774974694
MBD4-R	MBD4		R		0.6085343172561772
MGMT-G	MGMT		G		0.059149363221800054
XRCC4-P-S260	XRCC4	S260	P		-0.8710364444630283
RFC1-P-S190	RFC1	S190	P		-0.9948843082085812
POLD2-R	POLD2		R		0.12039174522910541
RFWD3-R	RFWD3		R		0.40454893871108083
NSMCE3-R	NSMCE3		R		0.999613673239675
H2AX-P-S140	H2AX	S140	P		-0.9500245757133653
WDHD1-R	WDHD1		R		0.32312760713810473
MRE11-G	MRE11		G		0.38442290026096315
WRNIP1-P-S75	WRNIP1	S75	P		0.63762779858484
XRCC6-P-S520	XRCC6	S520	P		0.9598141280859925
COPS2-R	COPS2		R		0.732207334872779
ABL1-P-S884	ABL1	S884	P		-0.6866493019060356
HMCES-G	HMCES		G		0.14823225621502345
TP53BP1-P-S366	TP53BP1	S366	P		0.9718950718776906
HMGN1-G	HMGN1		G		0.12557655920927557
USP7-G	USP7		G		0.30001016649451356
SLX4-P-T1315	SLX4	T1315	P		-0.9601392282449152
UNG-P-S14	UNG	S14	P		0.8701904429700895
CHD1L-G	CHD1L		G		0.08429129270683804
UIMC1-R	UIMC1		R		0.29788436610645314
ABRAXAS1-P-S406	ABRAXAS1	S406	P		0.5472759417335228
MORF4L1-G	MORF4L1		G		0.4334176349368108
RAD51D-R	RAD51D		R		0.4871956973316077
POLR2C-R	POLR2C		R		-0.9215402764275241
RNF168-R	RNF168		R		0.5295555709061044
ABL1-P-Y393	ABL1	Y393	P		-0.8622284028986348
SMC5-P-S25	SMC5	S25	P		0.8701904429700895
USP7-R	USP7		R		0.8290973520459985
CHEK2-P-S303	CHEK2	S303	P		-0.510292618605138
ORC5-G	ORC5		G		0.021536476539977995
TERT-R	TERT		R		0.999613673239675
ORC4-G	ORC4		G		4.433379799130338E-4
ORC1-G	ORC1		G		0.3848035943869817
ORC3-G	ORC3		G		0.016100727546855133
ORC2-G	ORC2		G		3.095110080122304E-4
UFD1-R	UFD1		R		-0.9094795765698139
TP53BP1-P-S1635	TP53BP1	S1635	P		0.3714731886363623
FANCI-G	FANCI		G		0.2257021609203431
FANCL-G	FANCL		G		-0.32888033701123026
COPS5-R	COPS5		R		0.7309427450782353
POLA1-P-S192	POLA1	S192	P		0.640931647983603
PARG-P-S286	PARG	S286	P		0.9896018435247054
FANCG-G	FANCG		G		-0.6855043682285276
COPS4-G	COPS4		G		0.7121964177937804
COPS3-G	COPS3		G		-0.9530495500777649
ELL-P-S442	ELL	S442	P		0.7440795520275432
COPS6-G	COPS6		G		-0.5967170721790942
POLR2G-R	POLR2G		R		0.24126945131993477
SLF1-R	SLF1		R		0.3327682444721231
COPS5-G	COPS5		G		-0.8686131336298266
HMGN1-P-S8	HMGN1	S8	P		0.8701904429700895
H2BU1-R	H2BU1		R		0.330277610483159
COPS2-G	COPS2		G		-0.9498333990364186
MTOR-R	MTOR		R		-0.5128972731122272
COPS8-G	COPS8		G		0.7517121600648512
BAZ1B-P-S345	BAZ1B	S345	P		0.9601392282449152
CDT1-R	CDT1		R		0.4093053941108342
MCM7-G	MCM7		G		0.1570935111220714
MCM8-G	MCM8		G		0.4505003898777934
MCM2-P-S381	MCM2	S381	P		0.937840152365561
TOPBP1-R	TOPBP1		R		0.32107575124273674
TOPBP1-P-T822	TOPBP1	T822	P		-0.9900403001063334
ACTB-P-T249	ACTB	T249	P		-0.937840152365561
RFC1-P-S108	RFC1	S108	P		-0.8622284028986348
TK2-R	TK2		R		-0.2272971512003966
ASCC1-P-S67	ASCC1	S67	P		0.7681461310794929
RFC5-G	RFC5		G		0.3587384458318153
TOP2A-P-S1351-S1354	TOP2A	S1351|S1354	P		0.9007116171800484
RFC3-G	RFC3		G		0.07519105372682827
TP53BP1-P-S1101	TP53BP1	S1101	P		0.6776209923906246
RFC4-G	RFC4		G		0.1570935111220714
SETX-P-T2255-Y2258	SETX	T2255|Y2258	P		0.47402628497975974
RFC1-G	RFC1		G		0.48449229189172766
RFC2-G	RFC2		G		0.33999678240238934
PLRG1-G	PLRG1		G		0.029637155486373266
TOP2B-P-T1317	TOP2B	T1317	P		0.8671015311977159
MCM3-G	MCM3		G		0.17779064278348408
MCM4-G	MCM4		G		0.18220255482961384
MCM5-G	MCM5		G		0.1778319392624776
MCM6-G	MCM6		G		0.169669878514646
MCM2-G	MCM2		G		0.17779064278348408
TP53BP1-P-T1609	TP53BP1	T1609	P		0.5230905749461626
MCMBP-P-T160	MCMBP	T160	P		0.9601392282449152
CIB1-R	CIB1		R		0.4596590227693265
FANCG-R	FANCG		R		0.14855077507260425
RAD9A-R	RAD9A		R		-0.7893483431838494
BOD1L1-P-S2501	BOD1L1	S2501	P		0.906802647620118
BABAM1-P-S29	BABAM1	S29	P		0.9202237545881776
TTK-G	TTK		G		0.8874070400173611
SLX1A-R	SLX1A		R		0.9802643440123947
INO80D-R	INO80D		R		-0.977121984453409
POLB-R	POLB		R		0.5848015507940835
RNF169-P-S247	RNF169	S247	P		0.9300585406031507
EXO5-R	EXO5		R		0.19201568912475006
TOP2A-P-S1377	TOP2A	S1377	P		-0.8527875024508854
TIMELESS-P-S1121	TIMELESS	S1121	P		0.4014986239459038
POLR2A-G	POLR2A		G		0.5264068861611397
RFC1-P-S69	RFC1	S69	P		0.6029394715203046
POLR2B-G	POLR2B		G		0.4726682783174624
BOD1L1-P-S2905	BOD1L1	S2905	P		-0.937840152365561
POLR2C-G	POLR2C		G		0.1717495811634808
POLR2D-G	POLR2D		G		0.4726682783174624
POLR2E-G	POLR2E		G		0.32888033701123026
POLR2F-G	POLR2F		G		0.9498333990364186
ASCC2-G	ASCC2		G		-0.4726682783174624
POLR2G-G	POLR2G		G		-0.9414802079037353
ASCC3-G	ASCC3		G		-0.38442290026096315
POLR2H-G	POLR2H		G		0.4334176349368108
POLR2I-G	POLR2I		G		0.6102999616070908
KAT5-R	KAT5		R		0.1735019680411283
REC114-R	REC114		R		0.7309095944418366
POLR2J-G	POLR2J		G		0.07272076149668667
POLR2K-G	POLR2K		G		0.9498333990364186
POLR2L-G	POLR2L		G		0.6102999616070908
TOP2A-P-S1525	TOP2A	S1525	P		-0.9774888945178857
ASCC1-G	ASCC1		G		-0.4505003898777934
APTX-R	APTX		R		0.10422630813090739
DBF4-R	DBF4		R		0.26527651647696904
MTOR-G	MTOR		G		0.9129423349670114
FANCA-R	FANCA		R		0.8290973520459985
XPC-P-S94	XPC	S94	P		0.9982353614735362
RAD23A-P-S205	RAD23A	S205	P		0.9395432509941035
FTO-R	FTO		R		-0.1832375447621807
EYA1-R	EYA1		R		0.4719304401884018
POLR2A-P-S1889	POLR2A	S1889	P		0.9774888945178857
RNF169-P-S403	RNF169	S403	P		-0.9300585406031507
TP53BP1-P-S1426	TP53BP1	S1426	P		0.9718950718776906
KAT5-G	KAT5		G		0.4505003898777934
HERC2-P-S2928	HERC2	S2928	P		0.9881657854738162
PCLAF-G	PCLAF		G		0.3702420360710362
RNF169-P-S539	RNF169	S539	P		0.9601392282449152
POLD1-R	POLD1		R		-0.9011005073713949
TOP1MT-R	TOP1MT		R		0.13707311516484846
SAMHD1-P-S6	SAMHD1	S6	P		-0.9084715738961758
CDK1-P-T161	CDK1	T161	P		-0.9402623940673639
UNG-P-T60	UNG	T60	P		0.6142952558267958
TINF2-G	TINF2		G		0.9335071832370045
ZNF830-P-S351	ZNF830	S351	P		-0.6712115688814382
TP53BP1-P-S1460	TP53BP1	S1460	P		0.8622284028986348
NEIL2-G	NEIL2		G		0.9993993899343421
TCEA1-P-S81	TCEA1	S81	P		-0.63762779858484
H2AX-P-Y143	H2AX	Y143	P		-0.6029394715203046
LIG1-P-T195	LIG1	T195	P		-0.7343362615700626
DNA2-G	DNA2		G		-0.47908132213738513
ZNF830-G	ZNF830		G		0.27328367797695774
TTK-P-S281	TTK	S281	P		0.8614032797956047
SMARCAL1-P-S112	SMARCAL1	S112	P		0.6029394715203046
RECQL-R	RECQL		R		-0.45928479191904104
TP53BP1-P-S862	TP53BP1	S862	P		0.8622284028986348
RTEL1-G	RTEL1		G		-0.18216579509050132
POLE2-R	POLE2		R		0.2987517004146002
GMNN-R	GMNN		R		0.5737562457258062
POLD2-P-S15	POLD2	S15	P		0.8888894600494808
PPP4R2-P-S364	PPP4R2	S364	P		0.8092962874817223
RFC5-R	RFC5		R		0.10870955004631769
CHTF8-G	CHTF8		G		0.43571263861594367
NUDT5-R	NUDT5		R		0.14335614675304645
WDR48-P-S373	WDR48	S373	P		-0.4561842710016037
BAP1-P-S597	BAP1	S597	P		0.6029394715203046
RECQL5-P-S491	RECQL5	S491	P		0.6110485876317541
MCM4-R	MCM4		R		0.3151142497409658
TP53BP1-G	TP53BP1		G		-0.7517121600648512
DNPH1-P-S28	DNPH1	S28	P		0.9500245757133653
TINF2-P-S295	TINF2	S295	P		-0.9957729835795736
SMC6-R	SMC6		R		0.32067166944112185
RIF1-P-S1688	RIF1	S1688	P		0.3714731886363623
SPATA22-R	SPATA22		R		-0.14855077507260425
HELB-R	HELB		R		0.8686262551254308
ALKBH5-P-S384	ALKBH5	S384	P		0.5362171994442787
CHD1L-P-S628	CHD1L	S628	P		0.9957729835795736
TP53BP1-P-S507	TP53BP1	S507	P		-0.7595793581960386
ORC2-P-T226	ORC2	T226	P		0.9245155971458215
BOD1L1-P-S2475	BOD1L1	S2475	P		0.7343362615700626
TICRR-P-S441	TICRR	S441	P		-0.9774888945178857
RNMT-R	RNMT		R		0.2272971512003966
TOP2A-G	TOP2A		G		-0.6820616518125613
TOP2B-G	TOP2B		G		0.2570517986751214
UBXN1-G	UBXN1		G		0.046283399133384626
TOP2B-P-S1236	TOP2B	S1236	P		0.6142952558267958
MCM2-P-S27	MCM2	S27	P		0.8614032797956047
TP53BP1-P-S1068	TP53BP1	S1068	P		0.8614032797956047
TP53BP1-P-S1094-S1101	TP53BP1	S1094|S1101	P		0.8622284028986348
BAZ1B-P-S361	BAZ1B	S361	P		-0.9402623940673639
RCHY1-P-S257	RCHY1	S257	P		-0.8993967204931264
POLQ-P-S1587	POLQ	S1587	P		0.525287664794334
MSH5-R	MSH5		R		0.4871956973316077
HRAS-G	HRAS		G		0.6102999616070908
TOP3B-G	TOP3B		G		0.5517677396596757
PARP4-G	PARP4		G		-0.45817962210330343
PARP1-G	PARP1		G		0.04399989048659008
PARP2-G	PARP2		G		0.3848035943869817
MDC1-P-S1033	MDC1	S1033	P		-0.8622284028986348
DCLRE1A-R	DCLRE1A		R		0.1328105774974694
TP53BP1-P-S1548	TP53BP1	S1548	P		0.8092962874817223
RIF1-P-S7	RIF1	S7	P		-0.8622284028986348
UIMC1-P-S101	UIMC1	S101	P		0.8614032797956047
MND1-R	MND1		R		0.9977412508078342
INO80B-P-S132	INO80B	S132	P		0.7843612289617882
ACTB-P-S365	ACTB	S365	P		0.7440795520275432
DTYMK-G	DTYMK		G		0.021536476539977995
PARP1-P-S75	PARP1	S75	P		-0.3714731886363623
TICRR-P-S1045	TICRR	S1045	P		0.525287664794334
RTEL1-R	RTEL1		R		0.977121984453409
ACTL6A-P-S233	ACTL6A	S233	P		0.7857713263714547
TYMS-G	TYMS		G		-0.9498333990364186
TP53BP1-P-S1618	TP53BP1	S1618	P		-0.8937054791515471
SIRT6-R	SIRT6		R		0.9764327741051528
SAMHD1-P-S33	SAMHD1	S33	P		0.6866493019060356
XPC-P-S903	XPC	S903	P		-0.9202237545881776
FAAP20-R	FAAP20		R		-0.5002352695488765
DDB1-P-T833-Y837	DDB1	T833|Y837	P		-0.9436002843653453
APBB1-G	APBB1		G		0.8061736440608418
GINS1-G	GINS1		G		-0.9491398620067429
H2BC17-R	H2BC17		R		0.6250481104444852
GINS2-G	GINS2		G		0.9335071832370045
RNF169-P-T554	RNF169	T554	P		0.5327559037636848
GINS3-G	GINS3		G		0.8874070400173611
GINS4-G	GINS4		G		-0.5028146964381517
MLH1-G	MLH1		G		0.1814033470160906
MLH3-G	MLH3		G		-0.2955585006541996
HRAS-R	HRAS		R		0.8612856280104546
CDK7-P-T170	CDK7	T170	P		-0.3714731886363623
RPA1-P-S174	RPA1	S174	P		-0.8622284028986348
HMGN1-P-S21-S25	HMGN1	S21|S25	P		0.8622284028986348
CHTF18-R	CHTF18		R		0.9475778409392167
MDC1-P-S505	MDC1	S505	P		-0.9436002843653453
BRCA1-R	BRCA1		R		-0.6392387096187713
H2AC6-R	H2AC6		R		0.26527651647696904
FANCM-R	FANCM		R		0.36979041597771367
KAT5-P-S90	KAT5	S90	P		0.8701904429700895
ATRX-P-S819	ATRX	S819	P		0.7016296050228851
ATRX-P-S1348-S1352	ATRX	S1348|S1352	P		0.8092962874817223
NTHL1-R	NTHL1		R		0.2954612177732687
PARG-P-S302	PARG	S302	P		-0.9753365727335745
POLR2D-R	POLR2D		R		0.9515352452635792
KDM4B-R	KDM4B		R		0.7850420514223985
COPS7A-P-S267	COPS7A	S267	P		0.9500245757133653
CUL4B-P-S61	CUL4B	S61	P		-0.9202237545881776
POT1-R	POT1		R		0.10237155972064342
KAT5-P-S155	KAT5	S155	P		-0.9202237545881776
LIG1-G	LIG1		G		0.4505003898777934
LIG4-G	LIG4		G		-0.19949244494156462
LIG3-G	LIG3		G		0.5846453558355102
MRNIP-R	MRNIP		R		0.14855077507260425
CDC5L-P-T404	CDC5L	T404	P		0.7440795520275432
CCNH-R	CCNH		R		0.2603971632918417
RAD23A-P-S133	RAD23A	S133	P		0.5362171994442787
ZBTB48-R	ZBTB48		R		-0.977121984453409
HPF1-R	HPF1		R		0.9790418369864395
FANCD2-G	FANCD2		G		0.042323431661076875
MCM2-R	MCM2		R		0.26527651647696904
TIMELESS-G	TIMELESS		G		0.031160082797964617
SUMO3-R	SUMO3		R		0.8768641221659831
ORC1-R	ORC1		R		0.7988437457626919
BOD1L1-P-S266	BOD1L1	S266	P		-0.8984277272475666
ERCC1-R	ERCC1		R		-0.45928479191904104
POLR2C-P-S124	POLR2C	S124	P		0.9982353614735362
TOP2A-R	TOP2A		R		0.999613673239675
MRPL40-R	MRPL40		R		0.10870955004631769
TERF2IP-P-S154	TERF2IP	S154	P		0.6712115688814382
PIAS1-P-S510	PIAS1	S510	P		-0.9601392282449152
IDH1-G	IDH1		G		0.3229843163453794
RFC1-P-S368	RFC1	S368	P		0.7933674951221635
RFC4-R	RFC4		R		0.6085343172561772
EME1-R	EME1		R		0.8290973520459985
FAM111A-R	FAM111A		R		-0.8632274967245291
PAXIP1-P-S235	PAXIP1	S235	P		0.8622284028986348
MTOR-P-S2481	MTOR	S2481	P		-0.8750334129485207
MDC1-P-S495	MDC1	S495	P		-0.6866493019060356
LIG1-P-S66	LIG1	S66	P		-0.7440795520275432
TP53BP1-P-S523	TP53BP1	S523	P		0.8183358145154316
ABRAXAS1-R	ABRAXAS1		R		0.4175266851171774
PALB2-R	PALB2		R		0.13363275409727185
TOPBP1-G	TOPBP1		G		0.6820616518125613
WRNIP1-P-S153	WRNIP1	S153	P		0.3714731886363623
RIF1-P-T409	RIF1	T409	P		0.6110485876317541
RECQL4-P-S251	RECQL4	S251	P		0.9818181508210831
RAD51AP1-P-S241	RAD51AP1	S241	P		0.5793202245204053
XRCC1-R	XRCC1		R		-0.6085343172561772
TCEA1-P-S135	TCEA1	S135	P		-0.9900403001063334
BABAM1-P-S66	BABAM1	S66	P		0.7440795520275432
BCAS2-R	BCAS2		R		0.681122089931682
H2BC15-R	H2BC15		R		-0.9215402764275241
TERF2IP-G	TERF2IP		G		0.1570935111220714
TIPIN-R	TIPIN		R		0.24126945131993477
ABRAXAS1-G	ABRAXAS1		G		0.4505003898777934
TP53BP1-P-T855	TP53BP1	T855	P		0.37328589507637994
GADD45A-R	GADD45A		R		0.9790418369864395
UNG-P-S12	UNG	S12	P		-0.99680858004866
LIG3-P-S913	LIG3	S913	P		0.7440795520275432
MAPK8-G	MAPK8		G		-0.38442290026096315
REV1-P-S1118	REV1	S1118	P		0.3714731886363623
TRIM25-P-T91	TRIM25	T91	P		0.8708851775222101
MCM7-R	MCM7		R		0.32067166944112185
RADX-R	RADX		R		-0.6418009605280907
PARP4-P-S1236	PARP4	S1236	P		0.9202237545881776
ZNF451-P-S838	ZNF451	S838	P		-0.4014986239459038
KDM4A-G	KDM4A		G		0.5846453558355102
KDM4B-G	KDM4B		G		0.3848035943869817
XRCC6-R	XRCC6		R		0.4441411999704091
ASCC2-R	ASCC2		R		-0.6978573167061024
MDC1-P-S453	MDC1	S453	P		0.857661436368084
INO80B-P-S127	INO80B	S127	P		-0.8622284028986348
WEE1-G	WEE1		G		0.181216828857811
GPS1-R	GPS1		R		0.46264259009936004
RIF1-P-S2172	RIF1	S2172	P		0.943615646609826
MDC1-G	MDC1		G		0.2332192163055635
CHD1L-R	CHD1L		R		0.8622428182013026
RPA1-P-S135	RPA1	S135	P		0.8984277272475666
TP53BP1-P-S500	TP53BP1	S500	P		0.9549848260406354
MCM6-P-S13	MCM6	S13	P		0.7862662447920225
UNG-R	UNG		R		0.22700217038854953
TP53BP1-P-S771	TP53BP1	S771	P		0.9601392282449152
TOP3A-R	TOP3A		R		0.8290973520459985
PPP4R2-G	PPP4R2		G		0.1570935111220714
PARP4-P-S1713	PARP4	S1713	P		0.8864259428106922
INO80-P-S468	INO80	S468	P		0.8231001226031832
WDHD1-G	WDHD1		G		0.6102999616070908
POLR2L-R	POLR2L		R		0.40429193098010086
SETMAR-G	SETMAR		G		0.21965844818233102
MSH6-P-S309	MSH6	S309	P		0.6029394715203046
POLA1-P-T225	POLA1	T225	P		-0.9900403001063334
RBBP8-P-T315	RBBP8	T315	P		0.3714731886363623
RAD50-P-S635	RAD50	S635	P		-0.8092962874817223
MSH6-P-S935	MSH6	S935	P		0.5443587649388988
JMJD6-R	JMJD6		R		-0.9790418369864395
CUL4B-R	CUL4B		R		0.1735019680411283
POLR2H-R	POLR2H		R		0.7091255845892211
PARPBP-G	PARPBP		G		0.2944158280384827
RECQL-P-S634	RECQL	S634	P		0.8701904429700895
COPS7B-G	COPS7B		G		0.38442290026096315
COPS7A-G	COPS7A		G		-0.1473909826365504
H2AC18-R	H2AC18		R		0.9475778409392167
LIG1-P-S66-S76	LIG1	S66|S76	P		-0.9829045200149196
RBBP8-P-T245	RBBP8	T245	P		-0.9595951632229655
FIGNL1-G	FIGNL1		G		-0.9128609261723875
HMGN1-R	HMGN1		R		0.9145785588550126
PIAS1-P-S485	PIAS1	S485	P		-0.9774888945178857
POLE-R	POLE		R		0.9744529893008345
CDC45-R	CDC45		R		0.44595850963949346
SMARCC1-P-S573	SMARCC1	S573	P		0.7329424166488915
CTC1-G	CTC1		G		-0.08215948453124616
ATRX-P-S92	ATRX	S92	P		0.8105394917175884
POLR2E-P-Y26-T36	POLR2E	Y26|T36	P		-0.5230905749461626
XAB2-R	XAB2		R		0.40429193098010086
VCP-P-S702	VCP	S702	P		0.8622284028986348
SETX-G	SETX		G		-0.6966229246763832
SMARCAL1-P-S198	SMARCAL1	S198	P		-0.9601392282449152
TDP2-G	TDP2		G		0.07272076149668667
ISY1-R	ISY1		R		0.574110746516698
TDP1-G	TDP1		G		0.09062419561810187
CCNA1-R	CCNA1		R		-0.19899024384112873
H2AX-R	H2AX		R		-0.999613673239675
MDC1-P-T1343	MDC1	T1343	P		-0.9900403001063334
TOP2B-P-S1466-S1476	TOP2B	S1466|S1476	P		-0.8710364444630283
CHD1L-P-S887	CHD1L	S887	P		-0.9610572972999228
UBA7-P-S24	UBA7	S24	P		0.9215469886895424
XPC-P-S883-S884	XPC	S883|S884	P		-0.9601392282449152
POLA1-R	POLA1		R		0.12559807943735157
ATRIP-P-S518	ATRIP	S518	P		0.6776209923906246
MCM6-P-S762	MCM6	S762	P		-0.8032408766696318
RCHY1-R	RCHY1		R		0.6978573167061024
ORC6-R	ORC6		R		-0.7960128988272183
APBB1-R	APBB1		R		0.7960128988272183
MRPL40-G	MRPL40		G		0.09202242519223339
PARP1-P-S782	PARP1	S782	P		0.3714731886363623
BARD1-P-T299	BARD1	T299	P		0.8710364444630283
MDC1-P-S376	MDC1	S376	P		0.3714731886363623
EXD2-R	EXD2		R		0.7605354140048292
ADPRS-R	ADPRS		R		0.3499537694793262
ACTL6A-G	ACTL6A		G		0.05263950973758403
SIRT6-G	SIRT6		G		0.2315587357006186
DYNLL1-G	DYNLL1		G		-0.7796042121780945
DDIAS-R	DDIAS		R		0.8768641221659831
POLD3-R	POLD3		R		0.6250481104444852
BAZ1B-P-S947	BAZ1B	S947	P		0.9601392282449152
ABL1-R	ABL1		R		-0.4175266851171774
CTC1-R	CTC1		R		0.7091255845892211
SLX1B-R	SLX1B		R		0.7898034607806314
RTF2-R	RTF2		R		0.7803017359086218
PLK2-R	PLK2		R		-0.07113855472703631
TOP2B-P-S1454	TOP2B	S1454	P		-0.9202237545881776
TP53BP1-P-S398	TP53BP1	S398	P		0.6142952558267958
RRM2B-R	RRM2B		R		0.7605354140048292
TOP2A-P-S1106	TOP2A	S1106	P		0.6056606548734564
NBN-R	NBN		R		0.8363333530893038
RNASEH2B-R	RNASEH2B		R		0.7141870094830268
UNG-G	UNG		G		0.007827228435146502
RECQL4-G	RECQL4		G		0.23834306360011334
POLD3-P-S458	POLD3	S458	P		-0.9601392282449152
RECQL5-G	RECQL5		G		0.6102999616070908
MCM3-P-T722	MCM3	T722	P		0.3714731886363623
ATRX-P-S213	ATRX	S213	P		-0.7343362615700626
TICRR-P-T566	TICRR	T566	P		0.7343362615700626
PNKP-P-T118	PNKP	T118	P		0.608169833717772
ACD-R	ACD		R		-0.9675199745383375
TOP2B-P-S1552	TOP2B	S1552	P		0.737997580347521
PMS2-G	PMS2		G		0.725979430999794
GEN1-R	GEN1		R		0.7184809924995058
PARG-P-S316	PARG	S316	P		-0.9601392282449152
CENPS-R	CENPS		R		0.5696903130477081
TRIM25-R	TRIM25		R		0.8443696533825986
SLX4-P-S1028	SLX4	S1028	P		0.530252518758644
RPS27A-G	RPS27A		G		0.018163246300924512
PMS1-G	PMS1		G		0.13908072932277413
MSH6-P-S200	MSH6	S200	P		0.8622284028986348
KDM4A-R	KDM4A		R		0.7850080835995459
MBD4-P-S387	MBD4	S387	P		0.8937054791515471
RAD51B-R	RAD51B		R		0.7300023730560649
PCNA-R	PCNA		R		0.1563509231296052
TRIM25-P-S433	TRIM25	S433	P		0.8701904429700895
KAT5-P-S86-S90	KAT5	S86|S90	P		0.37328589507637994
SMARCA4-P-S695	SMARCA4	S695	P		0.9601392282449152
SMARCC1-P-S357	SMARCC1	S357	P		0.9900403001063334
DUT-P-S99	DUT	S99	P		0.6408119566330914
ALKBH1-R	ALKBH1		R		0.9889108240120494
ERCC2-R	ERCC2		R		-0.1735019680411283
STK19-G	STK19		G		0.8467066773789873
YY1-G	YY1		G		0.014712466794721926
TP53BP1-P-S1094	TP53BP1	S1094	P		0.6319946413887049
FANCD2-P-S1435	FANCD2	S1435	P		0.2202560933280966
RUVBL2-G	RUVBL2		G		0.04399989048659008
RUVBL1-G	RUVBL1		G		0.12680107918160058
PMS1-P-S315	PMS1	S315	P		-0.6142952558267958
KPNA2-G	KPNA2		G		0.7796042121780945
LIG4-R	LIG4		R		-0.2603971632918417
PPP5C-R	PPP5C		R		-0.40429193098010086
UBE2V2-R	UBE2V2		R		-0.8778382639004355
ORC5-R	ORC5		R		0.14467003310105017
PRIM2-R	PRIM2		R		0.3945755487515974
POLR2K-R	POLR2K		R		0.7471284008907132
TP53BP1-P-S1317	TP53BP1	S1317	P		-0.7955694013789444
RBX1-G	RBX1		G		0.11060638883375948
PARP2-R	PARP2		R		-0.8632274967245291
SAMHD1-P-S583	SAMHD1	S583	P		-0.9829045200149196
PLK4-R	PLK4		R		0.6243423983212038
NBN-P-S343	NBN	S343	P		-0.7343362615700626
NBN-P-S397	NBN	S397	P		-0.7440795520275432
MDC1-P-T1280	MDC1	T1280	P		-0.8622284028986348
INO80-R	INO80		R		0.8632274967245291
ORC2-P-S111	ORC2	S111	P		0.44913078250860694
RNASEH2C-G	RNASEH2C		G		0.5775654516048423
RNASEH2B-G	RNASEH2B		G		0.9268131943672824
RNASEH2A-G	RNASEH2A		G		0.3549276702341388
CETN2-R	CETN2		R		0.10870955004631769
TICRR-P-S292	TICRR	S292	P		0.6223857967272226
MRE11-P-S689	MRE11	S689	P		-0.4014986239459038
NUDT18-R	NUDT18		R		0.9312818849878786
DCTPP1-R	DCTPP1		R		0.1563509231296052
RIF1-P-S1616	RIF1	S1616	P		0.37328589507637994
POLR2A-P-S1917	POLR2A	S1917	P		0.8701904429700895
UIMC1-P-S653	UIMC1	S653	P		0.7343362615700626
RECQL5-P-S488	RECQL5	S488	P		0.7343362615700626
RNF4-R	RNF4		R		0.8290973520459985
SAMHD1-P-T21	SAMHD1	T21	P		-0.937840152365561
POLR2F-R	POLR2F		R		0.40429193098010086
DGUOK-R	DGUOK		R		-0.8778382639004355
CCNA2-R	CCNA2		R		0.9752610383361094
ATRX-P-S875	ATRX	S875	P		0.8614032797956047
KDM4B-P-S566	KDM4B	S566	P		-0.9900403001063334
TERF1-R	TERF1		R		0.6135148117929575
PPP4C-P-S47	PPP4C	S47	P		0.8614032797956047
DNPH1-P-S169	DNPH1	S169	P		0.9300585406031507
HERC2-P-S1588	HERC2	S1588	P		0.8622284028986348
SETX-R	SETX		R		-0.732207334872779
